sil xx sil
pau xx pau
! 0 pau
" 0 pau
# 0 pau
& 1 v a
, 0 pau
. 0 pau
? 0 pau
; 0 pau
- 0 pau
a 0 a
ai 0 a j
am 0 a mc
an 0 a nc
ang 0 a Nz
anh 0 EX Nz
ao 0 a wc
au 0 aX wc
ay 0 aX j
ba 0 b a
bai 0 b a j
bam 0 b a mc
ban 0 b a nc
bang 0 b a Nz
banh 0 b EX Nz
bao 0 b a wc
bau 0 b aX wc
bay 0 b aX j
be 0 b E
bem 0 b E mc
ben 0 b E nc
beng 0 b E Nc
beo 0 b E wc
bi 0 b i
bia 0 b ie
bim 0 b i mc
bin 0 b i nc
binh 0 b i Nz
biu 0 b i wc
biêm 0 b ie mc
biên 0 b ie nc
biêng 0 b ie Nc
biêu 0 b ie wc
biếc 4 b ie kc
biệc 5 b ie kc
biếm 4 b ie mc
biềm 1 b ie mc
biểm 3 b ie mc
biễm 2 b ie mc
biệm 5 b ie mc
biến 4 b ie nc
biền 1 b ie nc
biển 3 b ie nc
biễn 2 b ie nc
biện 5 b ie nc
biếng 4 b ie Nc
biềng 1 b ie Nc
biểng 3 b ie Nc
biễng 2 b ie Nc
biệng 5 b ie Nc
biếp 4 b ie pc
biệp 5 b ie pc
biết 4 b ie tc
biệt 5 b ie tc
biếu 4 b ie wc
biều 1 b ie wc
biểu 3 b ie wc
biễu 2 b ie wc
biệu 5 b ie wc
bo 0 b O
boa 0 b w a
boai 0 b w a j
boam 0 b w a mc
boan 0 b w a nc
boang 0 b w a Nz
boanh 0 b w EX Nz
boao 0 b w a wc
boay 0 b w aX j
boe 0 b w E
boem 0 b w E mc
boen 0 b w E nc
boeo 0 b w e wc
boi 0 b O j
bom 0 b O mc
bon 0 b O nc
bong 0 b OX Nc
boong 0 b O Nm
bòa 1 b w a
boài 1 b w a j
boàm 1 b w a mc
boàn 1 b w a nc
boàng 1 b w a Nz
boành 1 b w EX Nz
boào 1 b w a wc
boày 1 b w aX j
bóa 4 b w a
boác 4 b w a kz
boách 4 b w EX kz
boái 4 b w a j
boám 4 b w a mc
boán 4 b w a nc
boáng 4 b w a Nz
boánh 4 b w EX Nz
boáo 4 b w a wc
boáp 4 b w a pc
boát 4 b w a tc
boáy 4 b w aX j
bõa 2 b w a
boãi 2 b w a j
boãm 2 b w a mc
boãn 2 b w a nc
boãng 2 b w a Nz
boãnh 2 b w EX Nz
boão 2 b w a wc
boãy 2 b w aX j
bòe 1 b w E
boèm 1 b w E mc
boèn 1 b w E nc
boèo 1 b w e wc
bóe 4 b w E
boém 4 b w E mc
boén 4 b w E nc
boéo 4 b w e wc
boét 4 b w E tc
boòng 1 b OX Nc
boóc 4 b O kp
boóng 4 b OX Nc
boõng 2 b OX Nc
bọa 5 b w a
bỏa 3 b w a
bọe 5 b w E
bỏe 3 b w E
bõe 2 b w E
boạc 5 b w a kz
boắc 4 b w aX kc
boặc 5 b w aX kc
boọc 5 b O kp
boạch 5 b w EX kz
boại 5 b w a j
boải 3 b w a j
boăm 0 b w aX mc
boạm 5 b w a mc
boảm 3 b w a mc
boắm 4 b w aX mc
boằm 1 b w aX mc
boẳm 3 b w aX mc
boẵm 2 b w aX mc
boặm 5 b w aX mc
boẹm 5 b w E mc
boẻm 3 b w E mc
boẽm 2 b w E mc
boăn 0 b w aX nc
boạn 5 b w a nc
boản 3 b w a nc
boắn 4 b w aX nc
boằn 1 b w aX nc
boẳn 3 b w aX nc
boẵn 2 b w aX nc
boặn 5 b w aX nc
boẹn 5 b w E nc
boẻn 3 b w E nc
boẽn 2 b w E nc
boăng 0 b w aX Nc
boạng 5 b w a Nz
boảng 3 b w a Nz
boắng 4 b w aX Nc
boằng 1 b w aX Nc
boẳng 3 b w aX Nc
boẵng 2 b w aX Nc
boặng 5 b w aX Nc
boọng 5 b OX Nc
boỏng 3 b OX Nc
boạnh 5 b w EX Nz
boảnh 3 b w EX Nz
boạo 5 b w a wc
boảo 3 b w a wc
boẹo 5 b w e wc
boẻo 3 b w e wc
boẽo 2 b w e wc
boạp 5 b w a pc
boạt 5 b w a tc
boắt 4 b w aX tc
boặt 5 b w aX tc
boẹt 5 b w E tc
boạy 5 b w aX j
boảy 3 b w aX j
bu 0 b u
bua 0 b uo
bui 0 b u j
bum 0 b u mc
bun 0 b u nc
bung 0 b u Nm
buy 0 b w i
buya 0 b w ie
buyn 0 b w i nc
buynh 0 b w i Nz
buyu 0 b w iu
buyên 0 b w ie nc
buyến 4 b w ie nc
buyền 1 b w ie nc
buyển 3 b w ie nc
buyễn 2 b w ie nc
buyện 5 b w ie nc
buyết 4 b w ie tc
buyệt 5 b w ie tc
buân 0 b w aa nc
buâng 0 b w aa Nc
buây 0 b w aa j
buê 0 b w E
buênh 0 b w E Nz
buôi 0 b uo j
buôm 0 b uo mc
buôn 0 b uo nc
buông 0 b uo Nc
búy 4 b w i
buýa 4 b w ie
buých 4 b w i kz
buýn 4 b w i nc
buýnh 4 b w i Nz
buýp 4 b w i pc
buýt 4 b w i tc
buýu 4 b w iu
buơ 0 b uo
buế 4 b w E
buề 1 b w E
buể 3 b w E
buễ 2 b w E
buệ 5 b w E
buớ 4 b uo
buờ 1 b uo
buở 3 b uo
buỡ 2 b uo
buợ 5 b uo
bùy 1 b w i
bụy 5 b w i
bủy 3 b w i
bũy 2 b w i
buỳa 1 b w ie
buỵa 5 b w ie
buỷa 3 b w ie
buỹa 2 b w ie
buốc 4 b uo kc
buộc 5 b uo kc
buếch 4 b w E kz
buệch 5 b w E kz
buỵch 5 b w i kz
buối 4 b uo j
buồi 1 b uo j
buổi 3 b uo j
buỗi 2 b uo j
buội 5 b uo j
buốm 4 b uo mc
buồm 1 b uo mc
buổm 3 b uo mc
buỗm 2 b uo mc
buộm 5 b uo mc
buấn 4 b w aa nc
buần 1 b w aa nc
buẩn 3 b w aa nc
buẫn 2 b w aa nc
buận 5 b w aa nc
buốn 4 b uo nc
buồn 1 b uo nc
buổn 3 b uo nc
buỗn 2 b uo nc
buộn 5 b uo nc
buỳn 1 b w i nc
buỵn 5 b w i nc
buỷn 3 b w i nc
buỹn 2 b w i nc
buấng 4 b w aa Nc
buầng 1 b w aa Nc
buẩng 3 b w aa Nc
buẫng 2 b w aa Nc
buậng 5 b w aa Nc
buống 4 b uo Nc
buồng 1 b uo Nc
buổng 3 b uo Nc
buỗng 2 b uo Nc
buộng 5 b uo Nc
buếnh 4 b w E Nz
buềnh 1 b w E Nz
buểnh 3 b w E Nz
buễnh 2 b w E Nz
buệnh 5 b w E Nz
buỳnh 1 b w i Nz
buỵnh 5 b w i Nz
buỷnh 3 b w i Nz
buỹnh 2 b w i Nz
buốp 4 b uo pc
buộp 5 b uo pc
buỵp 5 b w i pc
buất 4 b w aa tc
buật 5 b w aa tc
buốt 4 b uo tc
buột 5 b uo tc
buỵt 5 b w i tc
buỳu 1 b w iu
buỵu 5 b w iu
buỷu 3 b w iu
buỹu 2 b w iu
buấy 4 b w aa j
buầy 1 b w aa j
buẩy 3 b w aa j
buẫy 2 b w aa j
buậy 5 b w aa j
by 0 b i
bà 1 b a
bài 1 b a j
bàm 1 b a mc
bàn 1 b a nc
bàng 1 b a Nz
bành 1 b EX Nz
bào 1 b a wc
bàu 1 b aX wc
bày 1 b aX j
bá 4 b a
bác 4 b a kz
bách 4 b EX kz
bái 4 b a j
bám 4 b a mc
bán 4 b a nc
báng 4 b a Nz
